Zeit;Kanal A
(ms);(V)

-3,36810473;0,70973796
-3,36800073;0,70973796
-3,36789673;0,70973796
-3,36779273;0,70973796
-3,36768873;0,70973796
-3,36758473;0,70973796
-3,36748073;0,70973796
-3,36737673;0,70973796
-3,36727273;0,70973796
-3,36716873;0,70973796
-3,36706473;0,66252458
-3,36696073;0,70973796
-3,36685673;0,70973796
-3,36675273;0,66252458
-3,36664873;0,70973796
-3,36654474;0,70973796
-3,36644074;0,75710505
-3,36633674;0,70973796
-3,36623274;0,70973796
-3,36612874;0,66252458
-3,36602474;0,70973796
-3,36592074;0,70973796
-3,36581674;0,70973796
-3,36571274;0,70973796
-3,36560874;0,70973796
-3,36550474;0,70973796
-3,36540074;0,70973796
-3,36529674;0,70973796
-3,36519274;0,70973796
-3,36508874;0,70973796
-3,36498474;0,70973796
-3,36488074;0,70973796
-3,36477674;0,70973796
-3,36467274;0,70973796
-3,36456874;0,70973796
-3,36446474;0,66252458
-3,36436074;0,75710505
-3,36425674;0,75710505
-3,36415274;0,66252458
-3,36404874;0,66252458
-3,36394474;0,70973796
-3,36384074;0,70973796
-3,36373674;0,70973796
-3,36363274;0,70973796
-3,36352874;0,70973796
-3,36342474;0,66252458
-3,36332074;0,70973796
-3,36321674;0,70973796
-3,36311274;0,70973796
-3,36300874;0,66252458
-3,36290474;0,70973796
-3,36280074;0,66252458
-3,36269674;0,70973796
-3,36259274;0,66252458
-3,36248874;0,70973796
-3,36238474;0,70973796
-3,36228074;0,66252458
-3,36217674;0,66252458
-3,36207274;0,66252458
-3,36196874;0,70973796
-3,36186474;0,70973796
-3,36176074;0,70973796
-3,36165674;0,70973796
-3,36155274;0,70973796
-3,36144874;0,70973796
-3,36134474;0,70973796
-3,36124074;0,70973796
-3,36113674;0,66252458
-3,36103274;0,70973796
-3,36092874;0,70973796
-3,36082474;0,70973796
-3,36072074;0,70973796
-3,36061674;0,70973796
-3,36051274;0,70973796
-3,36040874;0,70973796
-3,36030474;0,70973796
-3,36020074;0,70973796
-3,36009674;0,70973796
-3,35999274;0,66252458
-3,35988874;0,70973796
-3,35978474;0,70973796
-3,35968074;0,70973796
-3,35957674;0,70973796
-3,35947274;0,70973796
-3,35936874;0,66252458
-3,35926474;0,70973796
-3,35916074;0,70973796
-3,35905674;0,70973796
-3,35895274;0,66252458
-3,35884874;0,70973796
-3,35874474;0,70973796
-3,35864074;0,66252458
-3,35853674;0,70973796
-3,35843274;0,66252458
-3,35832874;0,70973796
-3,35822474;0,66252458
-3,35812074;0,70973796
-3,35801674;0,70973796
-3,35791274;0,70973796
-3,35780874;0,70973796
-3,35770474;0,70973796
-3,35760074;0,70973796
-3,35749674;0,70973796
-3,35739274;0,66252458
-3,35728874;0,70973796
-3,35718474;0,70973796
-3,35708074;0,66252458
-3,35697674;0,70973796
-3,35687274;0,66252458
-3,35676874;0,66252458
-3,35666474;0,66252458
-3,35656074;0,70973796
-3,35645674;0,70973796
-3,35635274;0,70973796
-3,35624874;0,70973796
-3,35614474;0,70973796
-3,35604074;0,70973796
-3,35593674;0,70973796
-3,35583274;0,66252458
-3,35572874;0,66252458
-3,35562474;0,70973796
-3,35552074;0,66252458
-3,35541674;0,70973796
-3,35531274;0,66252458
-3,35520874;0,70973796
-3,35510474;0,66252458
-3,35500074;0,70973796
-3,35489674;0,70973796
-3,35479274;0,66252458
-3,35468874;0,66252458
-3,35458474;0,66252458
-3,35448074;0,66252458
-3,35437674;0,70973796
-3,35427274;0,66252458
-3,35416874;0,70973796
